TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_TYPE,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_COMMENT
msgsrparentbrkrstate,mktRespCounter,108,INT,NO,NULL,"number of times order checked by market response handler (note: most checks result in no action)"
msgsrparentbrkrstate,mktRespState,107,"ENUM('None','ChildCxlHold')",NO,NULL,"[enum] current state of response handler (if any)"
msgsrparentbrkrstate,nbboAsk,34,DOUBLE,NO,NULL,"current option nbbo ask (at time of record publish)"
msgsrparentbrkrstate,nbboAskSz,36,INT,NO,NULL,"current option nbbo cum ask size (at time of record publish)"
msgsrparentbrkrstate,nbboBid,33,DOUBLE,NO,NULL,"current option nbbo bid (at time of record publish)"
msgsrparentbrkrstate,nbboBidSz,35,INT,NO,NULL,"current option nbbo cum bid size (at time of record publish)"
msgsrparentbrkrstate,netAccDayDDelta,144,FLOAT,NO,NULL,"net (+/-) account day $delta;cumulative day $delta (stock, future, option) for the account this order is associated with"
msgsrparentbrkrstate,netAccDayWtVega,143,FLOAT,NO,NULL,"net (+/-) account day wtVega;cumulative day wtVega (vol * vega / sqrt(T)) for the account this order is associated with"
msgsrparentbrkrstate,netExpDayWtVega,147,FLOAT,NO,NULL,"net (+/-) expiration day wtVega;cumulative weighted vega (vol * vega / sqrt(T)) for the ticker+expiration this orders is associated with"
msgsrparentbrkrstate,netGrpDayContracts,151,INT,NO,NULL,"net (+/-) day risk group contracts;cumulative (futures, options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpDayDDelta,149,FLOAT,NO,NULL,"net (+/-) day risk group $delta;cumulative (stock, futures, options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpDayPremium,150,FLOAT,NO,NULL,"net (+/-) day risk group premium over parity;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpDayVega,148,FLOAT,NO,NULL,"net (+/-) day risk group vega;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpRMetric1,152,FLOAT,NO,NULL,"net (+/-) day risk group rmetric1;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpRMetric2,153,FLOAT,NO,NULL,"net (+/-) day risk group rmetric2;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpRMetric3,154,FLOAT,NO,NULL,"net (+/-) day risk group rmetric3;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpRMetric4,155,FLOAT,NO,NULL,"net (+/-) day risk group rmetric4;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netGrpRMetric5,156,FLOAT,NO,NULL,"net (+/-) day risk group rmetric5;cumulative (options) for the riskGroupId+account this order is associated with"
msgsrparentbrkrstate,netSymDayDDelta,146,FLOAT,NO,NULL,"net (+/-) symbol day $delta;cumulative $delta (stock, futures, options) for the ticker+account this order is associated with"
msgsrparentbrkrstate,netSymDayWtVega,145,FLOAT,NO,NULL,"net (+/-) symbol day (time weighted) vega;cumulative wt vega (options only) for the ticker+account this order is associated with"
msgsrparentbrkrstate,numExternRiskHold,46,INT,NO,NULL,"num external risk management rejects received"
msgsrparentbrkrstate,numImprvChld,171,INT,NO,NULL,"number of child orders that improved an existing market"
msgsrparentbrkrstate,numMakeThrottleSkips,179,INT,NO,NULL,"number of childs orders not send to market dues to outbound lines being in a queued/throttled state"
msgsrparentbrkrstate,numNewOrders,159,INT,NO,NULL,"number of child orders generated by this broker (all parent orders)"
msgsrparentbrkrstate,numParentLimits,160,"SMALLINT UNSIGNED",NO,NULL,"number of parent limit messages received for this broker"
msgsrparentbrkrstate,numRiskCancels,176,INT,NO,NULL,"number of child orders cancels for risk reasons"
msgsrparentbrkrstate,numUpdates,182,INT,NO,NULL,"number of record updates (cumulative for the day)"
msgsrparentbrkrstate,orderActiveSize,52,INT,NO,NULL,"total activated size (total size released for execution) (-1 = all available size)"
msgsrparentbrkrstate,orderRefSDiv,39,FLOAT,NO,NULL,NULL
msgsrparentbrkrstate,orderRefSDivType,40,"ENUM('None','Live','Locked')",NO,NULL,NULL
msgsrparentbrkrstate,orderSide,13,"ENUM('None','Buy','Sell')",NO,NULL,NULL
msgsrparentbrkrstate,orderSize,51,INT,NO,NULL,"order size of most recent parent order"
msgsrparentbrkrstate,packageId,23,BIGINT,NO,NULL,"groups related order/brokers together (eg. Legger w/MLeg Parent)"
msgsrparentbrkrstate,parentNumber,17,BIGINT,NO,NULL,"SR parent number"
msgsrparentbrkrstate,pointValue,142,FLOAT,NO,NULL,"$NLV value of a single point change in display premium (pointValue = tickValue / tickSize)"
msgsrparentbrkrstate,priceFormat,137,"ENUM('None','N0','N1','N2','N3','N4','N5','N6','N7','F4','F8','Q8','F16','F32','H32','Q32','F64','H64','FullPenny','PartPenny','PartNickle','EQT','V1','V2','V3','V4','V5','V6','V7','V8','V9','V10','V11','V12','V13','V14','V15','A0','A1','A2','A3','A4','A5','A6','A7')",NO,NULL,"option price format code"
msgsrparentbrkrstate,progressRuleDetail,111,VARCHAR(255),NO,NULL,"Twap/Vwap progress detail"
msgsrparentbrkrstate,qwapDnPnL,169,FLOAT,NO,NULL,"qwapPnL - uDriftQwapPnL"
msgsrparentbrkrstate,qwapPnL,168,FLOAT,NO,NULL,"dir * qty * (brokerQwapMark - avgFillPrice)"
msgsrparentbrkrstate,riskGroupId,19,BIGINT,NO,NULL,"all orders with the same riskGroupId share a common set of risk counters;.Grp. risk limits apply to these shared counters"
msgsrparentbrkrstate,riskHoldSeconds,177,FLOAT,NO,NULL,"number of seconds with parent order active but on risk hold (zero child order risk size)"
msgsrparentbrkrstate,riskLimitDesc,68,"ENUM('None','MaxAccHC','MinAccDD','MaxAccDD','MinAccWtVe','MaxAccWtVe','AbsAccWtVe','MinAccPr','MaxAccPr','AbsAccPr','MaxSymHC','MinSymDD','MaxSymDD','MinSymWtVe','MaxSymWtVe','AbsSymWtVe','MinSymPr','MaxSymPr','AbsSymPr','MaxGrpDD','MinGrpDD','MaxGrpVe','MinGrpVe','MaxGrpPr','MinGrpPr','MaxGrpCn','MinGrpCn','AbsGrpVe','AbsGrpPr','AbsGrpCn','MinExpWtVe','MaxExpWtVe','MarNoRec','MarDisabled','MarTotExp','MarCrdtAcc','MarCrdtDay','MarClsOnly','MarNoRec2','MarDisabled2','MarTotExp2','MarCrdtAcc2','MarCrdtDay2','MarClsOnly2','MarNoRec3','MarDisabled3','MarTotExp3','MarCrdtAcc3','MarCrdtDay3','MarClsOnly3','UserHC','MaxUserDD','MinUserDD','MaxUserWtVe','MinUserWtVe','MaxUserPr','MinUserPr','AbsUserWtVe','AbsUserPr','SysErr','StkErr','FutErr','OptErr','SSaleErr','SSaleRstr','StkSellLmt','Locate','StkRstct','SizeCap','ZeroCross','PreOpnQ','TrgWait','WaitStart','WaitTrigger','LegStep','TwapStep','MktNotReady','MinSpdrDD','MaxSpdrDD','MinSpdrWtVe','MaxSpdrWtVe','AbsSpdrWtVe','SpdrHC','AbsUSymDD','AbsUSymNv','MaxUSymDD','MaxUSymNv','MinUSymDD','MinUSymNv','USymHC','MaxUSymWtVe','MinUSymWtVe','AbsUSymWtVe','AbsUserDD','DayUserCn','DayUserNv','DayUSymCn','DayUSymNv','DaySpdrCn','DaySpdrNv','AbsSpdrDD','MinSpdrNv','MaxSpdrNv','MinUserNv','MaxUserNv','AbsGrpRm1','MinGrpRm1','MaxGrpRm1','MinGrpRm2','MaxGrpRm2','MinGrpRm3','MaxGrpRm3','MinGrpRm4','MaxGrpRm4','MinGrpRm5','MaxGrpRm5','OffMkt','SpdrFutMissing','SpdrFutDisabled','AbsFutPosDe','AbsFutDayDe','FutDayDeBot','FutDayDeSld','SpdrOptMissing','SpdrOptDisabled','AbsOptPosDe','AbsOptDayDe','OptDayDeBot','OptDayDeSld','SpdrExpMissing','SpdrExpDisabled','AbsExpPosDe','AbsExpDayDe','ExpDayDeBot','ExpDayDeSld','MaxMktSize','MaxMnySize','AbsSpdrSh','AbsSpdrFc','AbsSpdrNv','AbsUserSh','AbsUserFc','AbsUserNv','AbsUSymSh','AbsUSymFc','NoStkBrw','BadMkt','BadLmt','NoAltOrdId','InvldBrkr','MaxChildOrders','MktHalted','UPrcErr','MinUBid','MaxUAsk','PreStart','MaxSpdrVega','MinSpdrVega','AbsSpdrVega','MaxUserVega','MinUserVega','AbsUserVega','MaxUSymVega','MinUSymVega','AbsUSymVega','MaxSymVega','MinSymVega','ClntRteDn','ActiveSize','MinUDn15','MinUUp15','MinUDn50','MinUUp50','MktClosed','NoRiskCounter','NoDDeltaMult')",NO,NULL,"reason for size reduction"
msgsrparentbrkrstate,riskLimitSize,67,INT,NO,NULL,"risk limit size (maximum size to nearest risk limit)"
msgsrparentbrkrstate,riskThrtlSeconds,178,FLOAT,NO,NULL,"number of seconds with parent order active but in risk throttle condition (temporary hold after fast/mass risk cancel)"
msgsrparentbrkrstate,secKey_at,2,"ENUM('None','EQT','IDX','BND','CUR','COM','FUT','SYN','WAR','FLX','MUT','SPD','MM','MF','COIN','TOKEN')",NO,NULL,NULL
msgsrparentbrkrstate,secKey_cp,9,"ENUM('Call','Put','Pair')",NO,NULL,NULL
msgsrparentbrkrstate,secKey_dy,7,"TINYINT UNSIGNED",NO,NULL,NULL
msgsrparentbrkrstate,secKey_mn,6,"TINYINT UNSIGNED",NO,NULL,NULL
msgsrparentbrkrstate,secKey_tk,4,VARCHAR(12),NO,NULL,NULL
